18, 0.483675, 0.862463, 903, 462
24, 0.886901, 0.679179, 904, 461
29, 1.106843, 1.131281, 903, 462
57, 1.839981, 1.839981, 903, 460
93, 2.011046, 2.011046, 903, 460
486, 0.752493, 1.546725, 904, 461
488, 0.569208, 0.508113, 904, 461
492, 0.092669, 0.251515, 903, 460
13, 0.447019, 0.007136, 904, 461
19, 0.874682, 0.715836, 904, 461
26, 1.082405, 1.094624, 904, 462
53, 1.791105, 1.803324, 904, 461
88, 1.998827, 2.011046, 904, 462
486, 0.752493, 1.510068, 904, 461
488, 0.581427, 0.495894, 903, 460
492, 0.117107, 0.263734, 903, 460
14, 0.398143, 0.007136, 904, 462
20, 0.776931, 0.715836, 902, 460
24, 0.935777, 1.045748, 903, 460
53, 1.791105, 1.815543, 904, 461
89, 2.011046, 2.011046, 903, 462
485, 0.764712, 1.522287, 904, 461
487, 0.569208, 0.495894, 903, 460
491, 0.092669, 0.251515, 904, 461
14, 0.422581, 0.019355, 904, 462
21, 0.728055, 0.740274, 904, 461
24, 0.911339, 0.911339, 904, 462
53, 1.791105, 1.803324, 904, 462
89, 1.998827, 2.011046, 904, 461
485, 0.776931, 1.497849, 904, 462
487, 0.569208, 0.471456, 904, 461
492, 0.104888, 0.239296, 904, 461
14, 0.398143, 0.007136, 904, 462
20, 0.752493, 0.728055, 903, 460
23, 0.923558, 0.899120, 904, 461
52, 1.791105, 1.803324, 904, 461
88, 1.986608, 1.998827, 904, 461
487, 0.764712, 1.485630, 904, 462
489, 0.544770, 0.483675, 904, 462
493, 0.092669, 0.239296, 903, 460
14, 0.385924, 0.007136, 903, 460
20, 0.947996, 0.715836, 904, 461
29, 1.155718, 1.131281, 904, 461
54, 1.791105, 1.803324, 904, 461
89, 2.011046, 2.011046, 904, 462
485, 0.752493, 1.522287, 904, 461
488, 0.581427, 0.483675, 904, 462
491, 0.104888, 0.239296, 904, 461
13, 0.398143, 0.007136, 904, 462
19, 0.728055, 0.728055, 903, 462
22, 0.911339, 0.886901, 904, 461
53, 1.803324, 1.803324, 904, 462
88, 1.998827, 2.011046, 904, 461
486, 0.776931, 1.571163, 904, 461
488, 0.569208, 0.495894, 904, 461
492, 0.092669, 0.251515, 903, 460
13, 0.398143, 0.019355, 903, 462
19, 0.984653, 0.740274, 903, 462
29, 1.143499, 1.143499, 903, 460
53, 1.803324, 1.815543, 904, 463
88, 2.023265, 2.023265, 903, 462
486, 0.825806, 1.583382, 903, 463
488, 0.605865, 0.495894, 904, 461
492, 0.104888, 0.275953, 904, 461
14, 0.385924, 0.007136, 903, 460
21, 1.070186, 0.728055, 903, 460
31, 1.229032, 1.192375, 904, 461
53, 1.791105, 1.803324, 904, 461
89, 1.986608, 1.998827, 904, 461
484, 0.740274, 1.473411, 904, 461
486, 0.556989, 0.471456, 904, 461
491, 0.104888, 0.239296, 904, 461
15, 0.385924, 0.019355, 904, 461
20, 1.033529, 0.715836, 903, 460
30, 1.192375, 1.180156, 903, 460
54, 1.791105, 1.827762, 903, 460
