=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.08.23 13:08:06 =~=~=~=~=~=~=~=~=~=~=~=
730 0.056012, 0.043793, 1805, 1417
118, 0.227077, 1.143499, 1805, 1417
157, 0.092669, 0.471456, 1805, 1415
196, 0.031574, 0.129325, 1805, 1415
1, 5.151319, 5.139101, 1807, 1416
35, 1.754448, 5.090225, 1805, 1415
35, 1.644477, 5.139101, 1807, 1418
46, 1.351222, 3.697263, 1805, 1415
84, 0.569208, 2.230987, 1805, 1415
121, 0.227077, 1.119062, 1805, 1415
160, 0.080450, 0.459238, 1805, 1415
198, 0.043793, 0.117107, 1805, 1415
239, 0.007136, 0.007136, 1807, 1416
275, 0.043793, 0.043793, 1805, 1417
0, 5.151319, 5.139101, 1807, 1416
35, 1.778886, 5.102444, 1805, 1415
38, 1.644477, 5.139101, 1805, 1415
47, 1.326784, 3.685044, 1805, 1415
83, 0.581427, 2.230987, 1805, 1415
121, 0.227077, 1.119062, 1805, 1415
158, 0.080450, 0.459238, 1807, 1416
198, 0.043793, 0.117107, 1805, 1415
0, 5.151319, 5.139101, 1805, 1415
32, 1.778886, 5.102444, 1805, 1417
37, 1.644477, 5.139101, 1805, 1415
45, 1.339003, 3.697263, 1805, 1415
82, 0.581427, 2.218768, 1805, 1415
120, 0.202639, 1.119062, 1805, 1415
157, 0.080450, 0.459238, 1805, 1417
196, 0.031574, 0.117107, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
33, 1.742229, 5.102444, 1807, 1416
34, 1.620039, 5.151319, 1807, 1418
43, 1.326784, 3.685044, 1805, 1417
83, 0.556989, 2.218768, 1805, 1415
120, 0.214858, 1.119062, 1805, 1415
159, 0.092669, 0.459238, 1805, 1415
197, 0.031574, 0.104888, 1805, 1415
1, 5.151319, 5.139101, 1805, 1415
32, 1.791105, 5.102444, 1807, 1416
33, 1.656696, 5.151319, 1807, 1418
45, 1.339003, 3.672825, 1805, 1415
82, 0.569208, 2.218768, 1805, 1415
119, 0.214858, 1.106843, 1805, 1415
157, 0.092669, 0.459238, 1807, 1416
196, 0.031574, 0.117107, 1805, 1415
0, 5.151319, 5.126882, 1807, 1416
23, 2.878592, 5.163538, 1805, 1417
33, 1.778886, 5.114663, 1807, 1416
46, 1.351222, 3.685044, 1805, 1415
82, 0.556989, 2.218768, 1807, 1416
121, 0.214858, 1.131281, 1805, 1415
158, 0.068231, 0.447019, 1805, 1417
199, 0.031574, 0.104888, 1807, 1416
0, 5.151319, 5.139101, 1805, 1415
26, 2.683089, 5.175757, 1805, 1415
29, 2.157674, 5.139101, 1805, 1415
45, 1.339003, 3.672825, 1805, 1415
81, 0.556989, 2.218768, 1807, 1416
120, 0.214858, 1.119062, 1805, 1415
156, 0.092669, 0.471456, 1805, 1417
199, 0.056012, 0.129325, 1803, 1413
236, 0.019355, 0.007136, 1807, 1416
276, 0.056012, 0.043793, 1807, 1422
340, 0.019355, 0.007136, 1805, 1415
1, 5.151319, 5.126882, 1805, 1415
22, 4.980254, 5.163538, 1805, 1417
33, 1.803324, 5.126882, 1805, 1415
43, 1.351222, 3.685044, 1807, 1418
82, 0.569208, 2.218768, 1805, 1415
120, 0.214858, 1.106843, 1805, 1415
158, 0.080450, 0.459238, 1805, 1415
194, 0.043793, 0.117107, 1807, 1418
1, 5.151319, 5.139101, 1807, 1416
41, 1.485630, 5.102444, 1807, 1416
42, 1.375660, 4.357087, 1807, 1418
49, 1.241251, 3.917204, 1807, 1416
87, 0.508113, 2.096579, 1807, 1416
125, 0.202639, 1.033529, 1805, 1415
162, 0.080450, 0.410362, 1805, 1417
199, 0.031574, 0.092669, 1807, 1418
0, 5.151319, 5.139101, 1807, 1416
39, 1.510068, 5.090225, 1805, 1417
44, 1.375660, 4.308211, 1805, 1415
47, 1.265689, 3.904985, 1805, 1417
86, 0.520332, 2.084360, 1807, 1416
123, 0.202639, 1.033529, 1807, 1416
163, 0.080450, 0.410362, 1805, 1415
199, 0.043793, 0.092669, 1805, 1417
374, 0.007136, 0.019355, 1807, 1416
2, 5.151319, 5.139101, 1805, 1415
8, 5.187976, 5.175757, 1805, 1417
13, 5.151319, 5.139101, 1805, 1415
45, 1.363441, 4.002737, 1805, 1415
82, 0.569208, 2.255425, 1805, 1415
119, 0.214858, 1.131281, 1805, 1415
158, 0.092669, 0.471456, 1805, 1415
196, 0.031574, 0.117107, 1805, 1415
1, 5.163538, 5.151319, 1805, 1415
34, 1.778886, 5.102444, 1805, 1415
35, 1.644477, 5.151319, 1805, 1417
45, 1.363441, 3.660606, 1805, 1415
83, 0.556989, 2.230987, 1805, 1415
121, 0.214858, 1.119062, 1805, 1415
159, 0.092669, 0.447019, 1805, 1415
198, 0.043793, 0.117107, 1805, 1415
0, 5.151319, 5.139101, 1805, 1415
25, 2.292082, 5.175757, 1807, 1418
29, 1.998827, 5.139101, 1807, 1416
