,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.2,0.25,0.3,0.4
Fs,36,23,32,20,24,19,9,18,14,0,,,,,
pmin,4,3,4,,,3.5,3.5,3,3,,,,,,
